ordine,provincia,ragione_sociale,indirizzo,citta,persona_riferimento,telefono,email,qualificazione_soa,addetti,qualificazione_personale,reperibilita_h24,mezzi,bacini,logo,lat,lng
1,AL,GIUSTINIANA SRL,VIA VOLTAGGIO 19R,GAVI,PASTORINO FRANCESCO,0143 682024,sicurezza@giustiniana.com,SI,4,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA OPERATORI ESCAVATORI MACCHINE MOVIMENTO TERRA AUTISTI AUTOCARRO,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO SESIA BORMIDA,,44.685,8.8
2,AL,CACCIABUE SRL,STRADA REDABUE FELIZZANO 11B,MASIO,CACCIABUE PIA GIUSEPPINA,0131 772455,gare@cacciabuesrl.com,SI,17,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO SESIA DORA BORMIDA TANARO SCRIVIA ORBA,,44.784,8.46
3,AL,BOGGERI SPA,LOCALITA PIANO SNC,CABELLA LIGURE,BOGGERI PAOLO,0143 635755 · 3339273965,boggeri@boggeri.it · p.boggeri@boggeri.it,SI,33,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO SESIA ADDA BORMIDA TANARO DORA,,44.63,9.08
4,VC,IMPRESA SOGNO SRL,REGIONE LOTTI,GREGGIO,FRANCESCO SOGNO FORTUNA,3385877023,francesco.sogno@impresasogno.it,SI,32,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,SESIA TORRENTE CERVO TORRENTE ELVO,,45.48,8.42
5,AL,COS.MO. SRL,LOCALITA' BARACCA 8A,SAREZZANO,GIOVANNI DEMICHELIS,0131 884137,info@cosmosrl.biz,SI,12,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE AUTOCARRI PESANTI,SCRIVIA OSSONA CURONE GRUE,,44.84,8.978
6,AL,ALPE STRADE SRL,VIA GIARDINO 26,MELAZZO,MARIA LUCIA IVALDI,0144 322166,alpe.strade@libero.it,SI,6,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO BORMIDA TANARO,,44.589,8.37
7,BI,PIDELLO SCAVI SRL,"Strada Provinciale 500, 83",OCCHIEPPO SUPERIORE,PIDELLO EMANUELA,0155 92435 · 3355619324,pidello@pidelloscavi.it,SI,7,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO SESIA DORA,,45.58,8.026
8,TO,NORDEX SRL,VIA FRATELLI BERRA 64,OZEGNA,CRISTIAN MILANO,0124 36713,amministrazione@nordexsrl.com,NO SOA (ESPERIENZA PREGRESSA),30,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE AUTOCARRI PESANTI,PO SESIA DORA BORMIDA TANARO TORRENTE ORCO STURA DI LANZO,,45.415,7.805
9,AL,FRANZOSI CAVE SRL,VIA BERTARINO 47,TORTONA,FRANZOSI ALBERTO,0131 861461,cave@gruppofranzosi.it,NO SOA (ESPERIENZA PREGRESSA),30,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,DA CONCORDARE,ESCAVATORI PALE GOMMATE CINGOLATE POMPE IDROVORE AUTOCARRI PESANTI,PO BORMIDA TANARO SCRIVIA CURONE BORBERA GRUE,,44.896,8.866
10,BI,FRATELLI D'AMBROSIO SRL,VIA F ROSAZZA 4,SAGLIANO MICCA,ALESSANDRO DAMBROSIO,015 2477195,info@fratellidambrosio.it,SI,10,TECNICI SPECIALIZZATI IN MANUTENZIONE IDRAULICA,SI,ESCAVATORI PALE GOMMATE CINGOLATE AUTOCARRI PESANTI,PO SESIA DORA BORMIDA ADDA TANARO,,45.639,8.037
